RelErr_X1,RelErr_X2,RelErr_X1X2,deconfounding_corrcoef,CC_dispersion,ss,db,ari_trueCluster,nmi_trueCluster,ari_confoundedCluster,nmi_confoundedCluster,run
0.20391156,0.22225912,0.21500574,[-602.0832598685816],0.7218105297362857,0.07728656,2.426188651339474,0.3476743468020964,0.4813487068685983,[0.002139117810994226],[0.006240679981025253],run_4907
0.20317039,0.2240673,0.21580607,[-521.1567895041634],0.7236411691992658,0.08493447,2.424006531198587,0.3791402292961633,0.4634980146472057,[0.06205996245773893],[0.12421676558686295],run_41531
0.20411302,0.22205296,0.21496072,[-428.82685821933353],0.853533655413292,0.09720172,2.34701725599622,0.5128085650358613,0.6329315534902508,[0.0008312837975078415],[0.004721015652318919],run_35050
0.20298994,0.22432247,0.21588904,[-555.0751444465884],0.7091737136263072,0.073474854,2.489155201837644,0.3450207943494162,0.4632426162312348,[0.0030186931042644138],[0.007185707965871492],run_19184
0.20967387,0.224483,0.21862848,[-439.245758125438],0.7365747805566301,0.0911557,2.3236389725546456,0.2500787968721668,0.3533149914212635,[0.03288186087370952],[0.08899705279358625],run_78766
0.21226896,0.22504646,0.2199951,[-459.3101240269796],0.7858263161245462,0.0836991,2.3633463051531947,0.2938071134361947,0.4692529774513976,[6.182296163307157e-05],[0.002218776427470266],run_16474
0.20149449,0.22170556,0.21371546,[-465.77332685112486],0.787679472266116,0.07613569,2.3644350111557677,0.2354891487337764,0.3414764975405092,[0.04287665018017698],[0.10191378786966686],run_65430
0.2066226,0.2246239,0.21750742,[-536.0033183516761],0.8396207157808542,0.09731285,2.330299116254911,0.4848185825474127,0.5313768493234756,[0.053139934857951085],[0.1125514799531098],run_51729
0.19834441,0.22294915,0.2132221,[-489.335922075263],0.6374081488664846,0.09620753,2.485586417875944,0.0022634482072429,0.0040546893387341,[0.39922957712162715],[0.6131721730962921],run_16361
0.21181978,0.22485626,0.21970253,[-535.4185227458657],0.799854292223357,0.08203923,2.4214360392907954,0.4538108361930443,0.4983470250621646,[0.07163592772726206],[0.13002027555459303],run_81979
0.20270212,0.22557274,0.21653122,[-492.2767737743023],0.811812857948618,0.08912322,2.343871904920669,0.3322634794582676,0.4309990676613133,[0.05673931006931363],[0.12003335408912763],run_1651
0.19942752,0.2219004,0.21301611,[-542.776807770104],0.7828345289322424,0.08370211,2.509791665200595,0.3533623323279752,0.4457326247314664,[0.0024938830787543374],[0.005973502029262524],run_8534
